"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Administrators,CN=Builtin,DC=encryptpotter,DC=net","Administrators","S-1-5-32-544","544","group","True","encryptpotter","encryptpotter.net"
"CN=Users,CN=Builtin,DC=encryptpotter,DC=net","Users","S-1-5-32-545","545","group","True","encryptpotter","encryptpotter.net"
"CN=Guests,CN=Builtin,DC=encryptpotter,DC=net","Guests","S-1-5-32-546","546","group","True","encryptpotter","encryptpotter.net"
"CN=Account Operators,CN=Builtin,DC=encryptpotter,DC=net","Account Operators","S-1-5-32-548","548","group","True","encryptpotter","encryptpotter.net"
"CN=Server Operators,CN=Builtin,DC=encryptpotter,DC=net","Server Operators","S-1-5-32-549","549","group","True","encryptpotter","encryptpotter.net"
"CN=Print Operators,CN=Builtin,DC=encryptpotter,DC=net","Print Operators","S-1-5-32-550","550","group","True","encryptpotter","encryptpotter.net"
"CN=Backup Operators,CN=Builtin,DC=encryptpotter,DC=net","Backup Operators","S-1-5-32-551","551","group","True","encryptpotter","encryptpotter.net"
"CN=Replicator,CN=Builtin,DC=encryptpotter,DC=net","Replicator","S-1-5-32-552","552","group","True","encryptpotter","encryptpotter.net"
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=encryptpotter,DC=net","Pre-Windows 2000 Compatible Access","S-1-5-32-554","554","group","True","encryptpotter","encryptpotter.net"
"CN=Remote Desktop Users,CN=Builtin,DC=encryptpotter,DC=net","Remote Desktop Users","S-1-5-32-555","555","group","True","encryptpotter","encryptpotter.net"
"CN=Network Configuration Operators,CN=Builtin,DC=encryptpotter,DC=net","Network Configuration Operators","S-1-5-32-556","556","group","True","encryptpotter","encryptpotter.net"
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=encryptpotter,DC=net","Incoming Forest Trust Builders","S-1-5-32-557","557","group","True","encryptpotter","encryptpotter.net"
"CN=Performance Monitor Users,CN=Builtin,DC=encryptpotter,DC=net","Performance Monitor Users","S-1-5-32-558","558","group","True","encryptpotter","encryptpotter.net"
"CN=Performance Log Users,CN=Builtin,DC=encryptpotter,DC=net","Performance Log Users","S-1-5-32-559","559","group","True","encryptpotter","encryptpotter.net"
"CN=Windows Authorization Access Group,CN=Builtin,DC=encryptpotter,DC=net","Windows Authorization Access Group","S-1-5-32-560","560","group","True","encryptpotter","encryptpotter.net"
"CN=Terminal Server License Servers,CN=Builtin,DC=encryptpotter,DC=net","Terminal Server License Servers","S-1-5-32-561","561","group","True","encryptpotter","encryptpotter.net"
"CN=Distributed COM Users,CN=Builtin,DC=encryptpotter,DC=net","Distributed COM Users","S-1-5-32-562","562","group","True","encryptpotter","encryptpotter.net"
"CN=IIS_IUSRS,CN=Builtin,DC=encryptpotter,DC=net","IIS_IUSRS","S-1-5-32-568","568","group","True","encryptpotter","encryptpotter.net"
"CN=Cryptographic Operators,CN=Builtin,DC=encryptpotter,DC=net","Cryptographic Operators","S-1-5-32-569","569","group","True","encryptpotter","encryptpotter.net"
"CN=Event Log Readers,CN=Builtin,DC=encryptpotter,DC=net","Event Log Readers","S-1-5-32-573","573","group","True","encryptpotter","encryptpotter.net"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=encryptpotter,DC=net","Certificate Service DCOM Access","S-1-5-32-574","574","group","True","encryptpotter","encryptpotter.net"
"CN=RDS Remote Access Servers,CN=Builtin,DC=encryptpotter,DC=net","RDS Remote Access Servers","S-1-5-32-575","575","group","True","encryptpotter","encryptpotter.net"
"CN=RDS Endpoint Servers,CN=Builtin,DC=encryptpotter,DC=net","RDS Endpoint Servers","S-1-5-32-576","576","group","True","encryptpotter","encryptpotter.net"
"CN=RDS Management Servers,CN=Builtin,DC=encryptpotter,DC=net","RDS Management Servers","S-1-5-32-577","577","group","True","encryptpotter","encryptpotter.net"
"CN=Hyper-V Administrators,CN=Builtin,DC=encryptpotter,DC=net","Hyper-V Administrators","S-1-5-32-578","578","group","True","encryptpotter","encryptpotter.net"
"CN=Access Control Assistance Operators,CN=Builtin,DC=encryptpotter,DC=net","Access Control Assistance Operators","S-1-5-32-579","579","group","True","encryptpotter","encryptpotter.net"
"CN=Remote Management Users,CN=Builtin,DC=encryptpotter,DC=net","Remote Management Users","S-1-5-32-580","580","group","True","encryptpotter","encryptpotter.net"
"CN=Storage Replica Administrators,CN=Builtin,DC=encryptpotter,DC=net","Storage Replica Administrators","S-1-5-32-582","582","group","True","encryptpotter","encryptpotter.net"
"CN=Administrator,CN=Users,DC=encryptpotter,DC=net","Administrator","S-1-5-21-1092451709-2312608028-1547733439-500","500","user","True","encryptpotter","encryptpotter.net"
"CN=Guest,CN=Users,DC=encryptpotter,DC=net","Guest","S-1-5-21-1092451709-2312608028-1547733439-501","501","user","True","encryptpotter","encryptpotter.net"
"CN=krbtgt,CN=Users,DC=encryptpotter,DC=net","krbtgt","S-1-5-21-1092451709-2312608028-1547733439-502","502","user","True","encryptpotter","encryptpotter.net"
"CN=Domain Admins,CN=Users,DC=encryptpotter,DC=net","Domain Admins","S-1-5-21-1092451709-2312608028-1547733439-512","512","group","True","encryptpotter","encryptpotter.net"
"CN=Domain Users,CN=Users,DC=encryptpotter,DC=net","Domain Users","S-1-5-21-1092451709-2312608028-1547733439-513","513","group","True","encryptpotter","encryptpotter.net"
"CN=Domain Guests,CN=Users,DC=encryptpotter,DC=net","Domain Guests","S-1-5-21-1092451709-2312608028-1547733439-514","514","group","True","encryptpotter","encryptpotter.net"
"CN=Domain Computers,CN=Users,DC=encryptpotter,DC=net","Domain Computers","S-1-5-21-1092451709-2312608028-1547733439-515","515","group","True","encryptpotter","encryptpotter.net"
"CN=Domain Controllers,CN=Users,DC=encryptpotter,DC=net","Domain Controllers","S-1-5-21-1092451709-2312608028-1547733439-516","516","group","True","encryptpotter","encryptpotter.net"
"CN=Cert Publishers,CN=Users,DC=encryptpotter,DC=net","Cert Publishers","S-1-5-21-1092451709-2312608028-1547733439-517","517","group","True","encryptpotter","encryptpotter.net"
"CN=Group Policy Creator Owners,CN=Users,DC=encryptpotter,DC=net","Group Policy Creator Owners","S-1-5-21-1092451709-2312608028-1547733439-520","520","group","True","encryptpotter","encryptpotter.net"
"CN=Read-only Domain Controllers,CN=Users,DC=encryptpotter,DC=net","Read-only Domain Controllers","S-1-5-21-1092451709-2312608028-1547733439-521","521","group","True","encryptpotter","encryptpotter.net"
"CN=Cloneable Domain Controllers,CN=Users,DC=encryptpotter,DC=net","Cloneable Domain Controllers","S-1-5-21-1092451709-2312608028-1547733439-522","522","group","True","encryptpotter","encryptpotter.net"
"CN=Protected Users,CN=Users,DC=encryptpotter,DC=net","Protected Users","S-1-5-21-1092451709-2312608028-1547733439-525","525","group","True","encryptpotter","encryptpotter.net"
"CN=Key Admins,CN=Users,DC=encryptpotter,DC=net","Key Admins","S-1-5-21-1092451709-2312608028-1547733439-526","526","group","True","encryptpotter","encryptpotter.net"
"CN=RAS and IAS Servers,CN=Users,DC=encryptpotter,DC=net","RAS and IAS Servers","S-1-5-21-1092451709-2312608028-1547733439-553","553","group","True","encryptpotter","encryptpotter.net"
"CN=Allowed RODC Password Replication Group,CN=Users,DC=encryptpotter,DC=net","Allowed RODC Password Replication Group","S-1-5-21-1092451709-2312608028-1547733439-571","571","group","True","encryptpotter","encryptpotter.net"
"CN=Denied RODC Password Replication Group,CN=Users,DC=encryptpotter,DC=net","Denied RODC Password Replication Group","S-1-5-21-1092451709-2312608028-1547733439-572","572","group","True","encryptpotter","encryptpotter.net"
"CN=Enterprise Read-only Domain Controllers,CN=Users,DC=encryptpotter,DC=net","Enterprise Read-only Domain Controllers","S-1-5-21-1092451709-2312608028-1547733439-498","498","group","True","encryptpotter","encryptpotter.net"
"CN=Schema Admins,CN=Users,DC=encryptpotter,DC=net","Schema Admins","S-1-5-21-1092451709-2312608028-1547733439-518","518","group","True","encryptpotter","encryptpotter.net"
"CN=Enterprise Admins,CN=Users,DC=encryptpotter,DC=net","Enterprise Admins","S-1-5-21-1092451709-2312608028-1547733439-519","519","group","True","encryptpotter","encryptpotter.net"
"CN=Enterprise Key Admins,CN=Users,DC=encryptpotter,DC=net","Enterprise Key Admins","S-1-5-21-1092451709-2312608028-1547733439-527","527","group","True","encryptpotter","encryptpotter.net"
"CN=devadmin,CN=Users,DC=encryptpotter,DC=net","devadmin","S-1-5-21-1092451709-2312608028-1547733439-1000","1000","user","False","encryptpotter","encryptpotter.net"
